sample_rate_hz,mode,frequency_hz,measured_db,target_db,error_db,phase_deg
44100,F/L,20,5.95880980974,5.95880980974,1.06581410364e-14,-3.20539156267
44100,F/L,40,5.83904698575,5.83904698575,-2.13162820728e-14,-6.2722007762
44100,F/L,80,5.41005490993,5.41005490993,4.08562073062e-14,-11.5581867644
44100,F/L,125,4.75534142294,4.75534142294,-1.42108547152e-14,-15.7390727794
44100,F/L,250,3,3,3.41948691585e-14,-19.4071508584
44100,F/L,500,1.24420087753,1.24420087753,5.10702591328e-15,-15.7369363493
44100,F/L,1000,0.375321076908,0.375321076908,-9.27036225562e-15,-9.40029039625
44100,F/L,2500,0.0627666088269,0.0627666088269,-1.34059430223e-14,-3.94966173736
44100,F/L,5000,0.0148281747904,0.0148281747904,1.34753319614e-14,-1.92747040989
44100,F/L,8000,0.00500776365226,0.00500776365229,-3.66226146631e-14,-1.12104283688
44100,F/L,10000,0.00275816826123,0.00275816826122,1.54247274675e-14,-0.832132032211
44100,F/H,20,2.98074369911,2.98074369911,4.08562073062e-14,-1.42293272521
44100,F/H,40,2.92451393627,2.92451393627,1.24344978758e-14,-2.78453453603
44100,F/H,80,2.72035616915,2.72035616915,-1.99840144433e-14,-5.12406205023
44100,F/H,125,2.40185126818,2.40185126818,-1.15463194561e-14,-6.92282161644
44100,F/H,250,1.52965366379,1.52965366379,1.31006316906e-14,-7.89773113681
44100,F/H,500,0.720534223093,0.720534223093,-1.59872115546e-14,-4.11999347993
44100,F/H,1000,0.59138647611,0.59138647611,2.70894418009e-14,2.11893231746
44100,F/H,2500,1.52965366379,1.52965366379,-6.43929354283e-15,7.89773113681
44100,F/H,5000,2.43233062112,2.43233062112,-1.15463194561e-14,6.79935845475
44100,F/H,8000,2.77952185681,2.77952185681,-2.39808173319e-14,4.61137486409
44100,F/H,10000,2.87422774524,2.87422774524,-2.22044604925e-14,3.55604226677
44100,C/L,20,2.98055199926,2.98055199926,3.01980662698e-14,-1.58033905304
44100,C/L,40,2.92374728652,2.92374728652,-1.50990331349e-14,-3.09928630068
44100,C/L,80,2.71729196211,2.71729196211,-1.55431223448e-14,-5.7530789355
44100,C/L,125,2.39438149083,2.39438149083,-7.1054273576e-15,-7.90420253136
44100,C/L,250,1.5,1.5,-1.7763568394e-15,-9.84581257241
44100,C/L,500,0.605389926741,0.605389926741,0,-7.90308794977
44100,C/L,1000,0.178856379378,0.178856379378,2.07889261361e-14,-4.66260274142
44100,C/L,2500,0.0296536637854,0.0296536637854,5.76275138719e-15,-1.94808143559
44100,C/L,5000,0.0069958278318,0.00699582783179,7.70737640376e-15,-0.949812163458
44100,C/L,8000,0.00236195672056,0.00236195672056,3.8562902871e-15,-0.552319147146
44100,C/L,10000,0.00130083012914,0.00130083012913,1.54268958719e-14,-0.409959811488
44100,C/H,20,0.000191699851653,0.000191699851653,0,0.157406327833
44100,C/H,40,0.000766649756078,0.000766649756068,9.642352021e-15,0.314751764646
44100,C/H,80,0.00306420703945,0.00306420703945,-1.92814514355e-15,0.62901688527
44100,C/H,125,0.00746977735276,0.00746977735276,0,0.981380914918
44100,C/H,250,0.0296536637854,0.0296536637854,0,1.94808143559
44100,C/H,500,0.115144296352,0.115144296352,0,3.78309446984
44100,C/H,1000,0.412530096732,0.412530096732,7.38298311376e-15,6.78153505888
44100,C/H,2500,1.5,1.5,-3.33066907388e-15,9.84581257241
44100,C/H,5000,2.42533479329,2.42533479329,1.33226762955e-15,7.74917061821
44100,C/H,8000,2.77715990009,2.77715990009,0,5.16369401124
44100,C/H,10000,2.87292691511,2.87292691511,-2.6645352591e-15,3.96600207826
44100,T/L,20,-2.98036029941,-2.98036029941,-4.21884749358e-14,1.73774538088
44100,T/L,40,-2.92298063676,-2.92298063676,-3.37507799486e-14,3.41403806532
44100,T/L,80,-2.71422775507,-2.71422775507,-1.46549439251e-14,6.38209582077
44100,T/L,125,-2.38691171348,-2.38691171348,-3.41948691585e-14,8.88558344628
44100,T/L,250,-1.47034633621,-1.47034633621,-3.53050921831e-14,11.793894008
44100,T/L,500,-0.490245630388,-0.490245630388,3.05311331772e-15,11.6861824196
44100,T/L,1000,0.233673717354,0.233673717354,-3.56936702417e-14,11.4441378003
44100,T/L,2500,1.47034633621,1.47034633621,-1.487698853e-14,11.793894008
44100,T/L,5000,2.41833896545,2.41833896545,-2.22044604925e-14,8.69898278167
44100,T/L,8000,2.77479794337,2.77479794337,3.99680288865e-15,5.71601315838
44100,T/L,10000,2.87162608498,2.87162608498,-2.35367281221e-14,4.37596188974
44100,T/H,20,-5.95840331819,-5.95840331819,-2.48689957516e-14,3.52490774506
44100,T/H,40,-5.83742139426,-5.83742139426,-1.42108547152e-14,6.91109450091
44100,T/H,80,-5.40355853193,-5.40355853193,2.04281036531e-14,12.8348664526
44100,T/H,125,-4.73950913617,-4.73950913617,1.33226762955e-14,17.7305677719
44100,T/H,250,-2.93723339117,-2.93723339117,1.33226762955e-14,23.3568125958
44100,T/H,500,-1.00170540051,-1.00170540051,1.1990408666e-14,23.3817177579
44100,T/H,1000,0.479949596185,0.479949596185,-9.10382880193e-15,22.9711490862
44100,T/H,2500,2.93723339117,2.93723339117,-1.33226762955e-14,23.3568125958
44100,T/H,5000,4.8025581475,4.8025581475,-2.6645352591e-15,17.3690591889
44100,T/H,8000,5.52849773766,5.52849773766,-2.6645352591e-15,11.5157186144
44100,T/H,10000,5.72980711179,5.72980711179,6.2172489379e-15,8.84298045127
48000,F/L,20,5.95880847106,5.95880847106,-2.84217094304e-14,-3.20544328932
48000,F/L,40,5.83904197389,5.83904197389,-5.3290705182e-14,-6.27229573443
48000,F/L,80,5.41003938166,5.41003938166,-5.3290705182e-15,-11.5583222759
48000,F/L,125,4.7553176417,4.7553176417,-6.12843109593e-14,-15.7391837613
48000,F/L,250,3,3,8.43769498715e-15,-19.4071508584
48000,F/L,500,1.244296028,1.244296028,-3.17523785043e-14,-15.7373805583
48000,F/L,1000,0.375493924735,0.375493924735,-5.55111512313e-15,-9.4023101066
48000,F/L,2500,0.0629721398258,0.0629721398258,-3.63736818443e-14,-3.95605453539
48000,F/L,5000,0.0150352796993,0.0150352796993,1.73281528015e-14,-1.94085059038
48000,F/L,8000,0.00520735975618,0.00520735975618,-1.92727778181e-15,-1.1431463895
48000,F/L,10000,0.00294933524419,0.00294933524419,3.8562902871e-15,-0.860472513464
48000,F/H,20,2.98074370796,2.98074370796,5.90638649101e-14,-1.42269506906
48000,F/H,40,2.92451411631,2.92451411631,-3.5527136788e-14,-2.78405575231
48000,F/H,80,2.72035885313,2.72035885313,-1.11022302463e-14,-5.12308217667
48000,F/H,125,2.40186427098,2.40186427098,-1.46549439251e-14,-6.92125061659
48000,F/H,250,1.52975094035,1.52975094035,0,-7.89457044118
48000,F/H,500,0.720937190421,0.720937190421,5.3290705182e-15,-4.11462400099
48000,F/H,1000,0.592467040026,0.592467040026,2.34257058196e-14,2.12480090876
48000,F/H,2500,1.52975094035,1.52975094035,-7.9936057773e-15,7.89457044118
48000,F/H,5000,2.42751741753,2.42751741753,7.54951656745e-15,6.81791885088
48000,F/H,8000,2.77213565232,2.77213565232,1.50990331349e-14,4.67936021397
48000,F/H,10000,2.86634452669,2.86634452669,-1.33226762955e-15,3.65893393154
48000,C/L,20,2.98055136645,2.98055136645,3.01980662698e-14,-1.58036459592
48000,C/L,40,2.92374490141,2.92374490141,-2.22044604925e-14,-3.09933350721
48000,C/L,80,2.71728440951,2.71728440951,2.6645352591e-15,-5.75314778654
48000,C/L,125,2.394369614,2.394369614,-1.15463194561e-14,-7.90426043141
48000,C/L,250,1.5,1.5,-2.77555756156e-14,-9.84581257241
48000,C/L,500,0.605437446106,0.605437446106,1.25455201783e-14,-7.90331969343
48000,C/L,1000,0.178939573905,0.178939573905,1.13520304268e-14,-4.66361824324
48000,C/L,2500,0.0297509403544,0.0297509403544,-7.68829444553e-15,-1.95124213122
48000,C/L,5000,0.00709358088988,0.0070935808899,-1.73446326746e-14,-0.956409409946
48000,C/L,8000,0.00245611220354,0.00245611220357,-3.0849454935e-14,-0.563211367315
48000,C/L,10000,0.00139099758197,0.00139099758198,-7.7132310955e-15,-0.423923652789
48000,C/H,20,0.000192341511189,0.000192341511189,0,0.15766952686
48000,C/H,40,0.000769214893643,0.000769214893639,3.8569408084e-15,0.315277754905
48000,C/H,80,0.00307444362055,0.00307444362054,9.64029203687e-15,0.630065609874
48000,C/H,125,0.00749465697807,0.00749465697806,1.92641042007e-15,0.983009814825
48000,C/H,250,0.0297509403544,0.0297509403544,-1.92207361138e-15,1.95124213122
48000,C/H,500,0.115499744314,0.115499744314,7.60502771868e-15,3.78869569245
48000,C/H,1000,0.413527466121,0.413527466121,0,6.788419152
48000,C/H,2500,1.5,1.5,9.54791801178e-15,9.84581257241
48000,C/H,5000,2.42042383664,2.42042383664,-3.10862446895e-15,7.77432826083
48000,C/H,8000,2.76967954012,2.76967954012,6.2172489379e-15,5.24257158128
48000,C/H,10000,2.86495352911,2.86495352911,-6.66133814775e-15,4.08285758433
48000,T/L,20,-2.98035902494,-2.98035902494,-3.41948691585e-14,1.73803412278
48000,T/L,40,-2.92297568652,-2.92297568652,-2.35367281221e-14,3.41461126212
48000,T/L,80,-2.71420996589,-2.71420996589,-1.73194791842e-14,6.38321339642
48000,T/L,125,-2.38687495702,-2.38687495702,-7.54951656745e-15,8.88727024624
48000,T/L,250,-1.47024905965,-1.47024905965,-2.73114864058e-14,11.7970547036
48000,T/L,500,-0.489937701792,-0.489937701792,3.05311331772e-15,11.6920153859
48000,T/L,1000,0.234587892217,0.234587892217,-1.69031455499e-14,11.4520373952
48000,T/L,2500,1.47024905965,1.47024905965,-1.31006316906e-14,11.7970547036
48000,T/L,5000,2.41333025575,2.41333025575,-5.77315972805e-15,8.73073767078
48000,T/L,8000,2.76722342791,2.76722342791,1.55431223448e-14,5.8057829486
48000,T/L,10000,2.86356253153,2.86356253153,1.42108547152e-14,4.50678123712
48000,T/H,20,-5.95840061891,-5.95840061891,1.7763568394e-15,3.52549372612
48000,T/H,40,-5.83741094359,-5.83741094359,3.19744231092e-14,6.91225706468
48000,T/H,80,-5.40352130534,-5.40352130534,3.46389583683e-14,12.8371299657
48000,T/H,125,-4.73943264642,-4.73943264642,3.46389583683e-14,17.7339822244
48000,T/H,250,-2.93702786017,-2.93702786017,-5.3290705182e-15,23.3632053938
48000,T/H,500,-1.00105694586,-1.00105694586,1.62092561595e-14,23.3933792685
48000,T/H,1000,0.481803382555,0.481803382555,1.82631687551e-14,22.9865595586
48000,T/H,2500,2.93702786017,2.93702786017,1.33226762955e-15,23.3632053938
48000,T/H,5000,4.7924982306,4.7924982306,9.7699626167e-15,17.4307567481
48000,T/H,8000,5.51283307513,5.51283307513,-1.7763568394e-15,11.6939292503
48000,T/H,10000,5.71296450353,5.71296450353,3.5527136788e-15,9.10493476111
88200,F/L,20,5.95880336948,5.95880336948,1.4832579609e-13,-3.20564040693
88200,F/L,40,5.8390228743,5.8390228743,9.41469124882e-14,-6.2726575945
88200,F/L,80,5.4099802065,5.4099802065,1.4743761767e-13,-11.5588386607
88200,F/L,125,4.75522701884,4.75522701884,7.1054273576e-14,-15.7396066576
88200,F/L,250,3,3,6.43929354283e-14,-19.4071508584
88200,F/L,500,1.24465857706,1.24465857706,8.43769498715e-15,-15.7390727794
88200,F/L,1000,0.37615266933,0.376152669329,5.53446177776e-14,-9.41000228056
88200,F/L,2500,0.0637570199559,0.0637570199559,2.68118860447e-14,-3.98036874041
88200,F/L,5000,0.0158322867753,0.0158322867753,-5.39047972925e-14,-1.99149499244
88200,F/L,8000,0.00598982568022,0.00598982568026,-3.85455556362e-14,-1.22594721356
88200,F/L,10000,0.00371439929013,0.00371439929009,4.04841091206e-14,-0.965587174187
88200,F/H,20,2.98074374755,2.98074374755,1.06581410364e-14,-1.42179099818
88200,F/H,40,2.9245148258,2.9245148258,-7.06101843662e-14,-2.7822343913
88200,F/H,80,2.72036917453,2.72036917453,-7.32747196253e-14,-5.11935453087
88200,F/H,125,2.40191404603,2.40191404603,-7.86037901435e-14,-6.91527418918
88200,F/H,250,1.53012242977,1.53012242977,-2.0650148258e-14,-7.88254879447
88200,F/H,500,0.722474512452,0.722474512452,-3.19744231092e-14,-4.09422340964
88200,F/H,1000,0.596578638765,0.596578638766,-3.78586051397e-14,2.14700296982
88200,F/H,2500,1.53012242977,1.53012242977,-1.44328993201e-14,7.88254879447
88200,F/H,5000,2.40942767941,2.40942767941,-1.73194791842e-14,6.88564201731
88200,F/H,8000,2.74395314813,2.74395314813,-2.39808173319e-14,4.92528888623
88200,F/H,10000,2.83565704032,2.83565704032,1.82076576039e-14,4.02761932397
88200,C/L,20,2.98054895488,2.98054895488,-1.1990408666e-14,-1.58046193359
88200,C/L,40,2.92373581206,2.92373581206,-8.52651282912e-14,-3.09951339865
88200,C/L,80,2.71725562797,2.71725562797,-6.92779167366e-14,-5.7534101533
88200,C/L,125,2.39432435504,2.39432435504,-1.06581410364e-13,-7.90448105983
88200,C/L,250,1.5,1.5,-3.90798504668e-14,-9.84581257241
